px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
19.824	15.1804	4.83203	1.90819	0.533912	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	0
19.6904	15.3908	4.81517	1.98673	0.640077	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	0
19.66	15.5812	4.7439	1.99478	0.616466	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	0
19.566	15.7874	4.7298	2.02073	0.606871	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	0
19.4625	16.0001	4.73056	2.05002	0.605712	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0
19.3612	16.209	4.72745	2.06452	0.570405	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	0
19.2516	16.3869	4.68606	2.09447	0.573196	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0
19.1332	16.5842	4.67985	2.12414	0.576238	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0
19.0038	16.793	4.69768	2.15262	0.575359	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0
18.8465	16.9848	4.71186	2.21306	0.64436	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	0
18.6743	17.2171	4.7914	2.24734	0.644172	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	0
18.5722	17.4224	4.77274	2.22933	0.543967	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	0
18.3597	17.6124	4.8272	2.27647	0.563299	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	0
18.2236	17.8042	4.81833	2.27851	0.508862	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	0
18.092	17.9908	4.80221	2.29445	0.499382	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0
17.9159	18.1456	4.78899	2.33875	0.53635	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	0
17.7837	18.2896	4.72598	2.36025	0.532434	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	0
17.65	18.4713	4.71147	2.36695	0.502985	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	0
17.4568	18.6517	4.75338	2.39458	0.504535	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0
17.2757	18.793	4.73952	2.43035	0.524128	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	0
17.114	18.9302	4.70356	2.45479	0.523129	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0
16.9467	19.1006	4.71074	2.46644	0.500871	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	0
16.7301	19.2159	4.71173	2.50708	0.517215	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	0
16.5402	19.3689	4.72802	2.53126	0.519822	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	0
16.3166	19.5288	4.78568	2.55688	0.518028	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0
16.0934	19.6121	4.76882	2.60868	0.558289	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	0
15.8885	19.7557	4.79072	2.62892	0.549705	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0
15.6996	19.8808	4.76507	2.63306	0.500305	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	0
15.4702	20.033	4.82353	2.65072	0.491048	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	0
15.2593	20.1746	4.84453	2.66172	0.470365	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	0
15.0702	20.3069	4.83192	2.6729	0.457797	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	0
14.8399	20.3892	4.8314	2.71102	0.482079	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	0
14.6243	20.5086	4.84251	2.72758	0.473977	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0
14.388	20.5953	4.85923	2.76444	0.501057	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	0
14.1416	20.6695	4.87456	2.79675	0.508286	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0
13.9049	20.7406	4.88268	2.83254	0.530085	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0
13.6316	20.804	4.92896	2.86751	0.537835	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	0
13.3837	20.8346	4.9353	2.92148	0.590736	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	0
13.1371	20.8759	4.93652	2.95473	0.594582	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0
12.9054	20.9345	4.92896	2.97593	0.583177	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	0
12.7038	20.979	4.87637	2.99837	0.577779	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	0
12.4518	21.0195	4.89743	3.02636	0.578671	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	0
12.2049	21.0568	4.90819	3.05102	0.573787	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0
11.9663	21.0766	4.90498	3.08216	0.581978	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0
11.7229	21.0473	4.88644	3.126	0.598265	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	0
11.476	21.0339	4.88563	3.16127	0.604318	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	0
11.259	21.0275	4.84823	3.19001	0.604023	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0
11.0052	20.9889	4.85911	3.22946	0.613981	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	0
10.7939	20.9508	4.81297	3.26517	0.621037	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0
10.5457	20.9505	4.80476	3.26887	0.567028	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	0
10.2662	20.978	4.87452	3.27235	0.537393	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	0
10.0272	20.9598	4.87078	3.2911	0.525862	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	0
9.83207	20.9208	4.8066	3.31927	0.529966	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	0
9.59695	20.913	4.77899	3.31628	0.47415	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	0
9.40307	20.8609	4.72057	3.34559	0.481931	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0
9.18117	20.8195	4.71067	3.36774	0.481744	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	0
8.89077	20.7879	4.79814	3.37763	0.464022	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	0
8.6756	20.7085	4.77851	3.4126	0.480748	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	0
8.40134	20.6245	4.84364	3.43911	0.481853	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	0
8.17284	20.5443	4.8471	3.4686	0.491901	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0
7.93106	20.4644	4.86597	3.49145	0.48954	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0
7.71512	20.3778	4.86776	3.52531	0.51247	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	0
7.40875	20.3201	4.97552	3.52613	0.482633	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	0
7.1773	20.2234	4.9745	3.5484	0.477562	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0
6.9132	20.1411	5.02121	3.55969	0.462637	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0
6.688	20.0495	5.007	3.57561	0.450333	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0
6.4399	19.9586	5.03267	3.58827	0.438952	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0
6.22299	19.8649	5.01612	3.60576	0.435108	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	0
5.96029	19.7719	5.06288	3.61266	0.417814	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0
5.73246	19.6256	5.10017	3.65261	0.452962	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	0
5.55413	19.5028	5.04119	3.68183	0.461412	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	0
5.35305	19.3533	5.03574	3.71567	0.476605	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	0
5.13896	19.2519	5.0247	3.72554	0.461467	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	0
